generation,model_key,category,row_evaluations,avg_det_score,det_pass_count,det_pass_rate,failure_histogram
1,qwen25_coder_14b,1,15,83.6333,12,80.0,"{""arg_type"": 3, ""enum_grounding"": 2, ""extraneous"": 3, ""gt_mismatch"": 3, ""gt_receiver_coverage"": 3, ""gt_service_coverage"": 3, ""numeric_grounding"": 3, ""precondition"": 3, ""semantic"": 3, ""service_match"": 3}"
1,qwen25_coder_14b,2,15,100.0,15,100.0,{}
1,qwen25_coder_14b,3,15,86.5956,13,86.6667,"{""arg_type"": 2, ""dataflow"": 2, ""extraneous"": 2, ""gt_mismatch"": 8, ""gt_receiver_coverage"": 2, ""gt_service_coverage"": 2, ""numeric_grounding"": 2, ""precondition"": 2, ""semantic"": 3, ""service_match"": 2}"
1,qwen25_coder_14b,4,15,96.4046,15,100.0,"{""gt_mismatch"": 12, ""semantic"": 4}"
1,qwen25_coder_14b,5,15,97.991,15,100.0,"{""enum_grounding"": 6, ""gt_mismatch"": 7}"
1,qwen25_coder_14b,6,15,78.441,12,80.0,"{""arg_type"": 3, ""dataflow"": 3, ""enum_grounding"": 3, ""extraneous"": 11, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 3, ""gt_service_coverage"": 3, ""numeric_grounding"": 3, ""precondition"": 3, ""semantic"": 3, ""service_match"": 3}"
1,qwen25_coder_14b,7,15,81.2949,8,53.3333,"{""arg_type"": 1, ""dataflow"": 5, ""enum_grounding"": 6, ""gt_mismatch"": 10, ""gt_receiver_coverage"": 7, ""gt_service_coverage"": 7, ""numeric_grounding"": 2, ""semantic"": 7, ""service_match"": 5, ""unknown_service"": 5}"
1,qwen25_coder_14b,8,15,92.1414,15,100.0,"{""enum_grounding"": 4, ""extraneous"": 4, ""gt_mismatch"": 14, ""semantic"": 14}"
2,qwen25_coder_14b,1,15,94.4333,14,93.3333,"{""arg_type"": 1, ""enum_grounding"": 1, ""extraneous"": 1, ""gt_mismatch"": 1, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""numeric_grounding"": 1, ""precondition"": 1, ""semantic"": 1, ""service_match"": 1}"
2,qwen25_coder_14b,2,15,100.0,15,100.0,{}
2,qwen25_coder_14b,3,15,98.0744,15,100.0,"{""gt_mismatch"": 7, ""semantic"": 2}"
2,qwen25_coder_14b,4,15,97.3034,15,100.0,"{""gt_mismatch"": 9, ""semantic"": 3}"
2,qwen25_coder_14b,5,15,98.5921,15,100.0,"{""enum_grounding"": 5, ""gt_mismatch"": 5}"
2,qwen25_coder_14b,6,15,94.6793,14,93.3333,"{""extraneous"": 9, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1}"
2,qwen25_coder_14b,7,15,74.6652,5,33.3333,"{""arg_type"": 1, ""dataflow"": 8, ""enum_grounding"": 6, ""gt_mismatch"": 10, ""gt_receiver_coverage"": 10, ""gt_service_coverage"": 10, ""numeric_grounding"": 2, ""semantic"": 10, ""service_match"": 8, ""unknown_service"": 8}"
2,qwen25_coder_14b,8,15,92.6983,15,100.0,"{""enum_grounding"": 3, ""extraneous"": 5, ""gt_mismatch"": 13, ""semantic"": 13}"
3,qwen25_coder_14b,1,15,88.8667,13,86.6667,"{""arg_type"": 2, ""enum_grounding"": 2, ""extraneous"": 2, ""gt_mismatch"": 2, ""gt_receiver_coverage"": 2, ""gt_service_coverage"": 2, ""numeric_grounding"": 2, ""precondition"": 2, ""semantic"": 2, ""service_match"": 2}"
3,qwen25_coder_14b,2,15,100.0,15,100.0,{}
3,qwen25_coder_14b,3,15,86.9168,13,86.6667,"{""arg_type"": 2, ""dataflow"": 2, ""extraneous"": 2, ""gt_mismatch"": 7, ""gt_receiver_coverage"": 2, ""gt_service_coverage"": 2, ""numeric_grounding"": 2, ""precondition"": 2, ""semantic"": 2, ""service_match"": 2}"
3,qwen25_coder_14b,4,15,97.3034,15,100.0,"{""gt_mismatch"": 9, ""semantic"": 3}"
3,qwen25_coder_14b,5,15,97.991,15,100.0,"{""enum_grounding"": 6, ""gt_mismatch"": 7}"
3,qwen25_coder_14b,6,15,78.4351,12,80.0,"{""arg_type"": 3, ""dataflow"": 3, ""enum_grounding"": 3, ""extraneous"": 11, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 3, ""gt_service_coverage"": 3, ""numeric_grounding"": 3, ""precondition"": 3, ""semantic"": 3, ""service_match"": 3}"
3,qwen25_coder_14b,7,15,79.1852,6,40.0,"{""dataflow"": 4, ""enum_grounding"": 5, ""gt_mismatch"": 10, ""gt_receiver_coverage"": 9, ""gt_service_coverage"": 9, ""numeric_grounding"": 5, ""semantic"": 9, ""service_match"": 4, ""unknown_service"": 4}"
3,qwen25_coder_14b,8,15,93.3627,15,100.0,"{""enum_grounding"": 2, ""extraneous"": 5, ""gt_mismatch"": 12, ""semantic"": 12}"
4,qwen25_coder_14b,1,15,100.0,15,100.0,{}
4,qwen25_coder_14b,2,15,100.0,15,100.0,{}
4,qwen25_coder_14b,3,15,92.4956,14,93.3333,"{""arg_type"": 1, ""dataflow"": 1, ""extraneous"": 1, ""gt_mismatch"": 7, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""numeric_grounding"": 1, ""precondition"": 1, ""semantic"": 2, ""service_match"": 1}"
4,qwen25_coder_14b,4,15,98.2023,15,100.0,"{""gt_mismatch"": 6, ""semantic"": 2}"
4,qwen25_coder_14b,5,15,98.5921,15,100.0,"{""enum_grounding"": 5, ""gt_mismatch"": 5}"
4,qwen25_coder_14b,6,15,91.8918,13,86.6667,"{""arg_type"": 1, ""dataflow"": 1, ""enum_grounding"": 1, ""extraneous"": 9, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 2, ""gt_service_coverage"": 2, ""service_match"": 1, ""unknown_service"": 2}"
4,qwen25_coder_14b,7,15,74.7052,5,33.3333,"{""arg_type"": 2, ""dataflow"": 7, ""enum_grounding"": 6, ""gt_mismatch"": 10, ""gt_receiver_coverage"": 10, ""gt_service_coverage"": 10, ""numeric_grounding"": 3, ""semantic"": 10, ""service_match"": 7, ""unknown_service"": 7}"
4,qwen25_coder_14b,8,15,92.8245,15,100.0,"{""enum_grounding"": 3, ""extraneous"": 5, ""gt_mismatch"": 13, ""semantic"": 13}"
5,qwen25_coder_14b,1,15,89.2,13,86.6667,"{""arg_type"": 2, ""enum_grounding"": 1, ""extraneous"": 2, ""gt_mismatch"": 2, ""gt_receiver_coverage"": 2, ""gt_service_coverage"": 2, ""numeric_grounding"": 2, ""precondition"": 2, ""semantic"": 2, ""service_match"": 2}"
5,qwen25_coder_14b,2,15,100.0,15,100.0,{}
5,qwen25_coder_14b,3,15,92.4956,14,93.3333,"{""arg_type"": 1, ""dataflow"": 1, ""extraneous"": 1, ""gt_mismatch"": 7, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""numeric_grounding"": 1, ""precondition"": 1, ""semantic"": 2, ""service_match"": 1}"
5,qwen25_coder_14b,4,15,99.1011,15,100.0,"{""gt_mismatch"": 3, ""semantic"": 1}"
5,qwen25_coder_14b,5,15,97.57,15,100.0,"{""enum_grounding"": 6, ""gt_mismatch"": 8, ""numeric_grounding"": 1}"
5,qwen25_coder_14b,6,15,78.42,12,80.0,"{""arg_type"": 3, ""dataflow"": 3, ""enum_grounding"": 3, ""extraneous"": 11, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 3, ""gt_service_coverage"": 3, ""numeric_grounding"": 3, ""precondition"": 3, ""semantic"": 3, ""service_match"": 3}"
5,qwen25_coder_14b,7,15,74.2545,5,33.3333,"{""arg_type"": 3, ""dataflow"": 7, ""enum_grounding"": 7, ""gt_mismatch"": 10, ""gt_receiver_coverage"": 10, ""gt_service_coverage"": 10, ""numeric_grounding"": 3, ""semantic"": 10, ""service_match"": 7, ""unknown_service"": 7}"
5,qwen25_coder_14b,8,15,94.191,15,100.0,"{""enum_grounding"": 1, ""extraneous"": 4, ""gt_mismatch"": 11, ""semantic"": 11}"
6,qwen25_coder_14b,1,15,88.8667,13,86.6667,"{""arg_type"": 2, ""enum_grounding"": 2, ""extraneous"": 2, ""gt_mismatch"": 2, ""gt_receiver_coverage"": 2, ""gt_service_coverage"": 2, ""numeric_grounding"": 2, ""precondition"": 2, ""semantic"": 2, ""service_match"": 2}"
6,qwen25_coder_14b,2,15,100.0,15,100.0,{}
6,qwen25_coder_14b,3,15,98.7168,15,100.0,"{""gt_mismatch"": 5}"
6,qwen25_coder_14b,4,15,100.0,15,100.0,{}
6,qwen25_coder_14b,5,15,99.1553,15,100.0,"{""enum_grounding"": 3, ""gt_mismatch"": 3}"
6,qwen25_coder_14b,6,15,88.4007,11,73.3333,"{""arg_type"": 1, ""dataflow"": 1, ""enum_grounding"": 1, ""extraneous"": 7, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 4, ""gt_service_coverage"": 4, ""service_match"": 1, ""unknown_service"": 2}"
6,qwen25_coder_14b,7,15,77.532,7,46.6667,"{""arg_type"": 4, ""dataflow"": 6, ""enum_grounding"": 8, ""gt_mismatch"": 10, ""gt_receiver_coverage"": 8, ""gt_service_coverage"": 8, ""numeric_grounding"": 2, ""semantic"": 8, ""service_match"": 6, ""unknown_service"": 6}"
6,qwen25_coder_14b,8,15,92.8137,15,100.0,"{""enum_grounding"": 3, ""extraneous"": 5, ""gt_mismatch"": 13, ""semantic"": 13}"
7,qwen25_coder_14b,1,15,100.0,15,100.0,{}
7,qwen25_coder_14b,2,15,100.0,15,100.0,{}
7,qwen25_coder_14b,3,15,98.3956,15,100.0,"{""gt_mismatch"": 6, ""semantic"": 1}"
7,qwen25_coder_14b,4,15,99.1011,15,100.0,"{""gt_mismatch"": 3, ""semantic"": 1}"
7,qwen25_coder_14b,5,15,93.7893,14,93.3333,"{""arg_type"": 1, ""enum_grounding"": 5, ""extraneous"": 1, ""gt_mismatch"": 5, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""precondition"": 1, ""semantic"": 1, ""service_match"": 1, ""unknown_service"": 1}"
7,qwen25_coder_14b,6,15,94.671,14,93.3333,"{""extraneous"": 9, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1}"
7,qwen25_coder_14b,7,15,77.5251,6,40.0,"{""arg_type"": 1, ""dataflow"": 6, ""enum_grounding"": 6, ""gt_mismatch"": 10, ""gt_receiver_coverage"": 9, ""gt_service_coverage"": 9, ""numeric_grounding"": 3, ""semantic"": 9, ""service_match"": 6, ""unknown_service"": 6}"
7,qwen25_coder_14b,8,15,93.4284,15,100.0,"{""enum_grounding"": 2, ""extraneous"": 5, ""gt_mismatch"": 12, ""semantic"": 12}"
8,qwen25_coder_14b,1,15,100.0,15,100.0,{}
8,qwen25_coder_14b,2,15,100.0,15,100.0,{}
8,qwen25_coder_14b,3,15,98.3956,15,100.0,"{""gt_mismatch"": 6, ""semantic"": 1}"
8,qwen25_coder_14b,4,15,99.1011,15,100.0,"{""gt_mismatch"": 3, ""semantic"": 1}"
