proposal_id,source,mutation_family,operator,target_units,target_block_id,target_block_family,replacement_text,estimated_token_delta,actual_token_delta,risk_score,affected_failure_families,expected_effect,requires_validation,accepted,rejection_reason,rollback_units,generation,parent_genome_id,child_genome_id
advisor_g001_01,advisor,advisor_guided,add_targeted_repair_hint,[],06,DET_Helper,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",0,0,0.2,"[""DET_Helper""]","Repair receiver coverage, service coverage, dataflow, numeric, and enum grounding to fix gt_mismatch semantic errors.",True,True,,[],1,,
advisor_g001_02,advisor,advisor_guided,add_micro_rule,[],02,Service_Mapping,Use only canonical service/value names from service_list_snippet; never invent helper methods.,0,0,0.2,"[""Service_Mapping""]",Ensure strict use of canonical service names to prevent unknown_service errors.,True,True,,[],1,,
advisor_g001_03,advisor,advisor_guided,add_micro_rule,[],02,Service_Mapping,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",0,0,0.2,"[""Service_Mapping""]",Strengthen enum and numeric argument grounding to avoid enum_type_mismatch errors.,True,True,,[],1,,
advisor_g001_04,advisor,advisor_guided,add_micro_rule,[],06,Temporal_Rule,"For delayed or duration-based commands, represent elapsed time with explicit state variables and comparisons.",0,0,0.2,"[""Temporal_Rule""]",Improve temporal representation to fix temporal errors in delayed or duration-based commands.,True,True,,[],1,,
advisor_g001_05,advisor,advisor_guided,add_micro_rule,[],06,Dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",0,0,0.2,"[""Dataflow""]",Ensure sensor values are bound to variables and used downstream to fix dataflow errors.,True,True,,[],1,,
advisor_g001_06,advisor,advisor_guided,add_micro_rule,[],03,Output_Schema,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",0,0,0.2,"[""Output_Schema""]",Prevent extraneous actions by restricting output to only required actions.,True,True,,[],1,,
accuracy_repair_g002_bf8b961f,det_feedback,accuracy_repair,add_targeted_repair_hint,[],06,DET_Helper,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",0,0,0.2,"[""semantic_error""]",accuracy_repair mutation generated by phase-aware scheduler.,True,True,,[],2,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e,gen-bdd4e724-5407-b1de-8fa2-b132d3152091
compression_g002_b156bfc7,cloudless,compression,merge_duplicate_micro_rules,[],,,,0,0,0.35,[],compression mutation generated by phase-aware scheduler.,True,False,population full before cloudless proposal could be added,[],2,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e,
advisor_g002_01,advisor,advisor_guided,add_micro_rule,[],02,Service_Mapping,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",0,0,0.2,"[""Service_Mapping""]",Prevent enum grounding errors by enforcing exact enum value copying and unquoted numeric literals.,True,True,,[],2,,
advisor_g002_02,advisor,advisor_guided,add_micro_rule,[],06,DET_Helper,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",0,0,0.2,"[""DET_Helper""]",Improve semantic correctness by adding targeted repair hints for coverage and grounding issues.,True,True,,[],2,,
compression_g003_40eef092,cloudless,compression,compact_reasoning_skeleton,[],,,,0,0,0.35,[],compression mutation generated by phase-aware scheduler.,True,True,,[],3,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e,gen-eacd8d60-cf7c-3776-8272-e1069de7225b
advisor_g003_01,advisor,advisor_guided,add_micro_rule,[],02,Service_Mapping,"Use only canonical service names from service_list_snippet; for ENUM arguments, copy allowed enum values exactly; for numeric arguments, use unquoted numeric literals; read descriptor and argument bounds before selecting services or units.",0,0,0.2,"[""Service_Mapping""]",Ensure strict grounding of service names and argument types to prevent schema violations and unknown services.,True,True,,[],3,,
advisor_g003_02,advisor,advisor_guided,add_micro_rule,[],03,Output_Schema,"Return exactly one JSON object only; never emit markdown, prose, comments, or code fences; emit only actions required by the command, removing unrelated or duplicate actions.",0,0,0.2,"[""Output_Schema""]",Prevent invalid JSON output and extraneous actions by enforcing strict output format and minimality.,True,True,,[],3,,
advisor_g003_03,advisor,advisor_guided,add_micro_rule,[],06,Temporal_Rule,"Represent elapsed time with explicit state variables and comparisons; when reading values for reporting or control, bind to variables and use those variables in downstream actions.",0,0,0.2,"[""Temporal_Rule""]",Improve temporal grounding and dataflow correctness for delayed or duration-based commands.,True,True,,[],3,,
compression_g004_98596637,cloudless,compression,drop_optional_block,[],,,,0,0,0.35,[],compression mutation generated by phase-aware scheduler.,True,True,,[],4,gen-6c3bf6ba-f915-e48f-9141-09fb9b540624,gen-ffac2b3a-85ef-3b1e-a01c-673b58d152da
