failure_type,affected_block_family,suggested_mutation_type,prompt_block_id,failure_count,original_failure_reasons,rule,priority,generation,model_key
semantic_error,DET_Helper,add_targeted_repair_hint,06,79,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,1,qwen25_coder_7b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,45,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,1,qwen25_coder_7b
semantic_error,Skeleton,strengthen_skeleton_rule,06,39,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,1,qwen25_coder_7b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,34,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,1,qwen25_coder_7b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,31,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,1,qwen25_coder_7b
dataflow_error,Dataflow,add_sensor_to_action_flow_rule,06,22,dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",1,1,qwen25_coder_7b
temporal_error,Temporal_Rule,strengthen_temporal_rule,06,21,numeric_grounding,Convert elapsed time and units exactly according to the service descriptor before writing numeric literals.,2,1,qwen25_coder_7b
unknown_service,Service_Mapping,add_canonical_service_name_rule,02,15,unknown_service:airconditioner_humidity|unknown_service:airconditioner_temperature|unknown_service:airpurifier_setdehumidifiermode|unknown_service:contactsensor_presence|unknown_service:light_on|unknown_service:tvchannelup,Use only canonical service/value names from service_list_snippet; never invent helper methods.,1,1,qwen25_coder_7b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,15,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,1,qwen25_coder_7b
precondition,DET_Helper,add_targeted_repair_hint,06,3,precondition,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,1,qwen25_coder_7b
semantic_error,DET_Helper,add_targeted_repair_hint,06,81,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,2,qwen25_coder_7b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,38,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,2,qwen25_coder_7b
