proposal_id,source,mutation_family,operator,target_units,target_block_id,target_block_family,replacement_text,estimated_token_delta,actual_token_delta,risk_score,affected_failure_families,expected_effect,requires_validation,accepted,rejection_reason,rollback_units,generation,parent_genome_id,child_genome_id
advisor_g001_01,advisor,advisor_guided,add_targeted_repair_hint,[],06,DET_Helper,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",0,0,0.2,"[""DET_Helper""]","Address semantic errors due to gt_mismatch by improving receiver coverage, service coverage, dataflow, numeric, and enum grounding.",True,True,,[],1,,
advisor_g001_02,advisor,advisor_guided,add_micro_rule,[],02,Service_Mapping,"Use only canonical service/value names from service_list_snippet; read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",0,0,0.2,"[""Service_Mapping""]",Ensure strict grounding to service descriptors to prevent unknown or mismatched services.,True,True,,[],1,,
advisor_g001_03,advisor,advisor_guided,add_micro_rule,[],02,Enum_Grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",0,0,0.2,"[""Enum_Grounding""]",Prevent enum type mismatches by exact copying of allowed enum values and numeric literals.,True,True,,[],1,,
advisor_g001_04,advisor,advisor_guided,add_micro_rule,[],06,Temporal_Rule,"For delayed or duration-based commands, represent elapsed time with explicit state variables and comparisons.",0,0,0.2,"[""Temporal_Rule""]",Fix temporal errors by explicit representation of elapsed time with state variables and comparisons.,True,True,,[],1,,
advisor_g001_05,advisor,advisor_guided,add_micro_rule,[],06,Dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",0,0,0.2,"[""Dataflow""]",Improve dataflow correctness by binding sensor reads to variables used in downstream actions.,True,True,,[],1,,
advisor_g001_06,advisor,advisor_guided,add_micro_rule,[],03,Output_Schema,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",0,0,0.2,"[""Output_Schema""]",Prevent extraneous actions by emitting only required actions and removing unrelated or duplicate ones.,True,True,,[],1,,
accuracy_repair_g002_bf8b961f,det_feedback,accuracy_repair,add_targeted_repair_hint,[],06,DET_Helper,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",0,0,0.2,"[""semantic_error""]",accuracy_repair mutation generated by phase-aware scheduler.,True,True,,[],2,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e,gen-bdd4e724-5407-b1de-8fa2-b132d3152091
compression_g002_b156bfc7,cloudless,compression,merge_duplicate_micro_rules,[],,,,0,0,0.35,[],compression mutation generated by phase-aware scheduler.,True,False,population full before cloudless proposal could be added,[],2,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e,
advisor_g002_01,advisor,advisor_guided,add_micro_rule,[],02,Enum_Grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",0,0,0.2,"[""Enum_Grounding""]",Fix enum grounding errors by enforcing exact enum value copying and correct numeric literal usage.,True,True,,[],2,,
advisor_g002_02,advisor,advisor_guided,add_micro_rule,[],02,Service_Mapping,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",0,0,0.2,"[""Service_Mapping""]",Improve service mapping accuracy by grounding on descriptor and argument types before selecting services or units.,True,True,,[],2,,
advisor_g002_03,advisor,advisor_guided,add_micro_rule,[],02,Owner_Device_Rule,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",0,0,0.2,"[""Owner_Device_Rule""]","Ensure receiver expressions preserve device, owner, location, and group selector tags implied by the command.",True,True,,[],2,,
advisor_g002_04,advisor,advisor_guided,add_micro_rule,[],06,DET_Helper,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",0,0,0.2,"[""DET_Helper""]","Repair semantic errors by improving coverage and grounding of receiver, service, dataflow, numeric, and enum values.",True,True,,[],2,,
advisor_g002_05,advisor,advisor_guided,add_micro_rule,[],06,Temporal_Rule,"For delayed or duration-based commands, represent elapsed time with explicit state variables and comparisons.",0,0,0.2,"[""Temporal_Rule""]",Strengthen temporal handling by representing elapsed time with explicit state variables and comparisons.,True,True,,[],2,,
advisor_g002_06,advisor,advisor_guided,add_micro_rule,[],06,Dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",0,0,0.2,"[""Dataflow""]",Improve dataflow correctness by binding sensor reads to variables used in downstream actions.,True,True,,[],2,,
advisor_g002_07,advisor,advisor_guided,add_micro_rule,[],03,Output_Schema,"Return exactly one JSON object only; never emit markdown, prose, comments, or code fences.",0,0,0.2,"[""Output_Schema""]","Prevent invalid JSON output by enforcing exactly one JSON object with no markdown, prose, comments, or code fences.",True,True,,[],2,,
advisor_g002_08,advisor,advisor_guided,add_micro_rule,[],03,Minimality,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",0,0,0.2,"[""Minimality""]",Reduce extraneous actions by emitting only actions required by the command and removing unrelated or duplicate actions.,True,True,,[],2,,
compression_g003_40eef092,cloudless,compression,compact_reasoning_skeleton,[],,,,0,0,0.35,[],compression mutation generated by phase-aware scheduler.,True,True,,[],3,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e,gen-eacd8d60-cf7c-3776-8272-e1069de7225b
advisor_g003_01,advisor,advisor_guided,add_micro_rule,[],02,Service_Mapping,Use only canonical service and value names from service_list_snippet; never invent helper methods.,0,0,0.2,"[""Service_Mapping""]",Ensure strict adherence to canonical service names to prevent unknown service errors.,True,True,,[],3,,
advisor_g003_02,advisor,advisor_guided,add_micro_rule,[],02,Enum_Grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",0,0,0.2,"[""Enum_Grounding""]",Prevent enum type mismatches by exact copying of allowed enum values and correct numeric literal usage.,True,True,,[],3,,
advisor_g003_03,advisor,advisor_guided,add_micro_rule,[],03,Output_Schema,"Return exactly one JSON object only; never emit markdown, prose, comments, or code fences.",0,0,0.2,"[""Output_Schema""]",Guarantee output is strictly a single JSON object without extraneous formatting to avoid invalid JSON errors.,True,True,,[],3,,
advisor_g003_04,advisor,advisor_guided,add_micro_rule,[],03,Minimality,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",0,0,0.2,"[""Minimality""]",Avoid extraneous or unrelated actions in output to improve minimality and correctness.,True,True,,[],3,,
advisor_g003_05,advisor,advisor_guided,add_micro_rule,[],06,Temporal_Rule,"For delayed or duration-based commands, represent elapsed time with explicit state variables and comparisons.",0,0,0.2,"[""Temporal_Rule""]",Improve temporal accuracy by representing elapsed time with explicit state variables and comparisons.,True,True,,[],3,,
advisor_g003_06,advisor,advisor_guided,add_micro_rule,[],06,Dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",0,0,0.2,"[""Dataflow""]",Ensure correct dataflow by binding sensor read values to variables used in downstream actions.,True,True,,[],3,,
compression_g004_98596637,cloudless,compression,drop_optional_block,[],,,,0,0,0.35,[],compression mutation generated by phase-aware scheduler.,True,True,,[],4,gen-6c3bf6ba-f915-e48f-9141-09fb9b540624,gen-ffac2b3a-85ef-3b1e-a01c-673b58d152da
