generation,proposal_id,model_key,target_block_id,target_block_family,mutation_type,priority,accepted,rejection_reason,reason,proposed_micro_rule
1,advisor_g001_01,qwen25_coder_7b,06,DET_Helper,add_targeted_repair_hint,3,True,,"Address semantic errors due to gt_mismatch by improving receiver coverage, service coverage, dataflow, numeric, and enum grounding.","If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding."
1,advisor_g001_02,qwen25_coder_7b,02,Service_Mapping,add_micro_rule,1,True,,Ensure strict grounding to service descriptors to prevent unknown or mismatched services.,"Use only canonical service/value names from service_list_snippet; read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units."
1,advisor_g001_03,qwen25_coder_7b,02,Enum_Grounding,add_micro_rule,1,True,,Prevent enum type mismatches by exact copying of allowed enum values and numeric literals.,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals."
1,advisor_g001_04,qwen25_coder_7b,06,Temporal_Rule,add_micro_rule,1,True,,Fix temporal errors by explicit representation of elapsed time with state variables and comparisons.,"For delayed or duration-based commands, represent elapsed time with explicit state variables and comparisons."
1,advisor_g001_05,qwen25_coder_7b,06,Dataflow,add_micro_rule,1,True,,Improve dataflow correctness by binding sensor reads to variables used in downstream actions.,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action."
1,advisor_g001_06,qwen25_coder_7b,03,Output_Schema,add_micro_rule,2,True,,Prevent extraneous actions by emitting only required actions and removing unrelated or duplicate ones.,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers."
2,advisor_g002_01,qwen25_coder_7b,02,Enum_Grounding,add_micro_rule,1,True,,Fix enum grounding errors by enforcing exact enum value copying and correct numeric literal usage.,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals."
2,advisor_g002_02,qwen25_coder_7b,02,Service_Mapping,add_micro_rule,2,True,,Improve service mapping accuracy by grounding on descriptor and argument types before selecting services or units.,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units."
2,advisor_g002_03,qwen25_coder_7b,02,Owner_Device_Rule,add_micro_rule,2,True,,"Ensure receiver expressions preserve device, owner, location, and group selector tags implied by the command.","Preserve command-implied device, owner, location, and group selector tags in the receiver expression."
2,advisor_g002_04,qwen25_coder_7b,06,DET_Helper,add_micro_rule,3,True,,"Repair semantic errors by improving coverage and grounding of receiver, service, dataflow, numeric, and enum values.","If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding."
2,advisor_g002_05,qwen25_coder_7b,06,Temporal_Rule,add_micro_rule,1,True,,Strengthen temporal handling by representing elapsed time with explicit state variables and comparisons.,"For delayed or duration-based commands, represent elapsed time with explicit state variables and comparisons."
2,advisor_g002_06,qwen25_coder_7b,06,Dataflow,add_micro_rule,1,True,,Improve dataflow correctness by binding sensor reads to variables used in downstream actions.,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action."
2,advisor_g002_07,qwen25_coder_7b,03,Output_Schema,add_micro_rule,1,True,,"Prevent invalid JSON output by enforcing exactly one JSON object with no markdown, prose, comments, or code fences.","Return exactly one JSON object only; never emit markdown, prose, comments, or code fences."
2,advisor_g002_08,qwen25_coder_7b,03,Minimality,add_micro_rule,2,True,,Reduce extraneous actions by emitting only actions required by the command and removing unrelated or duplicate actions.,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers."
3,advisor_g003_01,qwen25_coder_7b,02,Service_Mapping,add_micro_rule,1,True,,Ensure strict adherence to canonical service names to prevent unknown service errors.,Use only canonical service and value names from service_list_snippet; never invent helper methods.
3,advisor_g003_02,qwen25_coder_7b,02,Enum_Grounding,add_micro_rule,1,True,,Prevent enum type mismatches by exact copying of allowed enum values and correct numeric literal usage.,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals."
3,advisor_g003_03,qwen25_coder_7b,03,Output_Schema,add_micro_rule,1,True,,Guarantee output is strictly a single JSON object without extraneous formatting to avoid invalid JSON errors.,"Return exactly one JSON object only; never emit markdown, prose, comments, or code fences."
3,advisor_g003_04,qwen25_coder_7b,03,Minimality,add_micro_rule,2,True,,Avoid extraneous or unrelated actions in output to improve minimality and correctness.,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers."
3,advisor_g003_05,qwen25_coder_7b,06,Temporal_Rule,add_micro_rule,1,True,,Improve temporal accuracy by representing elapsed time with explicit state variables and comparisons.,"For delayed or duration-based commands, represent elapsed time with explicit state variables and comparisons."
3,advisor_g003_06,qwen25_coder_7b,06,Dataflow,add_micro_rule,1,True,,Ensure correct dataflow by binding sensor read values to variables used in downstream actions.,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action."
